body,entityname,userid,username,createdAt,entityName,address,city,country,state
💻,Thomas M. Siebel Center for Computer Science,1852286158135171,April Schermann,2018-04-07 14:25:13.475+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🍪,D'Amato's Pastry Shop,878293195646842,Joe Higgs,2017-11-10 01:00:09.877+00,D'Amato's Pastry Shop,1123 West Grand Avenue, Chicago,Chicago,United States,Illinois
🍳,The Original Pancake House,100162404055730,Opico Alpaca,2017-10-23 18:22:47.466+00,The Original Pancake House,1909 West Springfield Avenue # B, Champaign,Champaign,United States,Illinois
🥩,Miss Ricky's,10155200088205955,Ranjitha Kumar,2018-02-11 19:14:55.94+00,Miss Ricky's,203 N Wabash Ave, 1st Floor, Chicago, Chicago,Chicago,United States,Illinois
🐁,BB&T Center,108473739188452905120,Jeffrey Higgs,2018-02-23 00:25:48.941+00,BB&T Center,1 Panther Pkwy, Sunrise,Sunrise,United States,Florida
💅,Modern Nails Salon,10155200088205955,Ranjitha Kumar,2019-02-09 19:21:33.616+00,Modern Nails Salon,1711 West Kirby Avenue, Champaign,Champaign,United States,Illinois
🍛,Silver Spoon Thai Restaurant,1361942793868970,Konstantinos Koiliaris,2017-12-09 22:35:16.806+00,Silver Spoon Thai Restaurant,710 North Rush Street, Chicago,Chicago,United States,Illinois
🍵,Blank Space Cafe,1425689854196183,Sunaya Kumar,2017-12-29 19:14:25.419+00,Blank Space Cafe,2126 2nd Avenue, Seattle,Seattle,United States,Washington
👑,Van Leeuwen Ice Cream,10155200088205955,Ranjitha Kumar,2018-05-15 20:23:52.995+00,Van Leeuwen Ice Cream,152 W 10th St, New York,New YorkUnited States,New York
💻,First Column Student Living,oCO1XnwTPub9pAXnMwOpAwQq65m1,Aayushi Gupta,2019-06-11 20:13:24.05+00,First Column Student Living,512 East Green Street Suite D, Champaign,Champaign,United States,Illinois
🍹,Three Dots and a Dash,1659104244102907,Dayana Edat,2017-09-02 03:26:08.652+00,Three Dots and a Dash,435 North Clark Street, Chicago,Chicago,United States,Illinois
🍳,Merry Ann's Diner (on Campus),100162404055730,Opico Alpaca,2017-11-01 07:14:47.583+00,Merry Ann's Diner (on Campus),701 South Gregory Street c, Urbana,Urbana,United States,Illinois
👌,Mas Q Menos Aeropuerto De Madrid,10212886863311893,Sujay Khandekar,2017-11-25 08:21:35.932+00,Mas Q Menos Aeropuerto De Madrid,Avenida de Logroño, 90, Madrid,Madrid,Spain,Comunidad de Madrid
🎁,Le BHV Marais,106173579224565293482,Kala Shivaramaiah,2018-10-20 17:51:20.937+00,Le BHV Marais,52 Rue de Rivoli, Paris,Paris,France,Île-de-France
🤵,St George's Chapel,1660353924016921,Olivia Gatti,2018-05-19 16:46:18.153+00,St George's Chapel,Windsor Castle, 2 The Cloisters, Windsor,Windsor,United Kingdom,England
💤,Hyatt Regency Montreal,uoY2JhUYYjWWgymHKxcZKYYNZ1B3,Manya Kapikian,2018-04-24 01:43:36.247+00,Hyatt Regency Montreal,1255 Rue Jeanne-Mance, Montréal,Montréal,Canada,Québec
😋,Sakanaya Restaurant,1720951507964911,Elena Gatti,2018-02-20 04:42:22.531+00,Sakanaya Restaurant,403 East Green Street, Champaign,Champaign,United States,Illinois
🤗,SeoulOre5wuGho6eoXwYVwR1INWWsLi13,2Y Y,2018-05-11 09:25:12.896+00,SeoulSeoulSeoulSouth Korea,Seoul
👔,Sheraton Palo Alto Hotel,105856798281199967470,Sujay Khandekar,2018-11-03 01:10:04.076+00,Sheraton Palo Alto Hotel,625 El Camino Real, Palo Alto,Palo Alto,United States,California
🐑,Málà Project,105856798281199967470,Sujay Khandekar,2018-07-16 03:34:45.573+00,Málà Project,122 1st Avenue, New York,New YorkUnited States,New York
🏧,Redstone Federal Credit Union,10103843606733457,Erin Cherry,2018-01-03 22:28:19.625+00,Redstone Federal Credit Union,3752 Sullivan Street, Madison,Madison,United States,Alabama
🍗,Hattie B's Hot Chicken - Midtown Nashville, TN,1695707747139533,Ben Dalgarn,2018-03-10 02:11:30.947+00,Hattie B's Hot Chicken - Midtown Nashville, TN,112 19th Avenue South, Nashville,Nashville,United States,Tennessee
🥃,Montreal Science Centre,105856798281199967470,Sujay Khandekar,2018-04-24 01:15:03.388+00,Montreal Science Centre,2 de la Commune St W, Montreal,Montréal,Canada,Québec
🥔,KFC,10159323352450136,Savana Savage,2017-11-02 14:50:02.4+00,KFC,2201 West Springfield Avenue, Champaign,Champaign,United States,Illinois
😋,Bangkok Thai Restaurant & Pho 911,10212391291791338,Jinda Han,2018-01-29 20:38:49.827+00,Bangkok Thai Restaurant & Pho 911,410 East Green Street, Champaign,Champaign,United States,Illinois
🍜,Taro San Japanese Noodle Bar,10155200088205955,Ranjitha Kumar,2019-05-21 18:56:02.943+00,Taro San Japanese Noodle Bar,717 Stanford Shopping Center, Palo Alto,Palo Alto,United States,California
🐠,Firehaus,849156475252964,Alyssa Chen,2018-03-14 00:42:52.859+00,Firehaus,708 South 6th Street, Champaign,Champaign,United States,Illinois
🍆,BoBo China,10212391291791338,Jinda Han,2018-12-23 13:35:06.487+00,BoBo China,404 East Green Street, Champaign,Champaign,United States,Illinois
🌐,The Spheres,10155200088205955,Ranjitha Kumar,2018-11-28 02:10:04.793+00,The Spheres,2111 7th Avenue, Seattle,Seattle,United States,Washington
🐟,Poseidon Greek Boutique Seafood Restaurant,10212391291791338,Jinda Han,2018-12-25 17:12:49.675+00,Poseidon Greek Boutique Seafood Restaurant,1131 Washington Avenue, Miami Beach,Miami Beach,United States,Florida
🔪,La Bamba Mexican and Spanish Restaurant Plantation,120643188722471,Jeff Higgs,2018-01-27 00:13:21.746+00,La Bamba Mexican and Spanish Restaurant Plantation,10169 West Sunrise Boulevard, Plantation,Plantation,United States,Florida
🍔,Relish Burger Bistro,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-09-12 18:50:14.697+00,Relish Burger Bistro,1900 5th Avenue, Seattle,Seattle,United States,Washington
🤤,Dao Tai House,10214788409806965,Berwin Xie,2018-08-19 19:02:49.983+00,Dao Tai House,1621 12th Avenue #102, Seattle,Seattle,United States,Washington
🔊,Fillmore Karaoke,105856798281199967470,Sujay Khandekar,2019-06-02 02:18:30.823+00,Fillmore Karaoke,1410 Fillmore Street, San Francisco,San Francisco,United States,California
🌶,The Himalayan Chimney,106173579224565293482,Kala Shivaramaiah,2018-04-21 01:54:55.317+00,The Himalayan Chimney,134 West Church Street, Champaign,Champaign,United States,Illinois
🍚,Yayoiken,1806470722731430,Akira Matsuda,2018-03-11 04:12:08.631+00,Yayoiken,5 Chome-1-13 Hongo, 文京区,Bunkyō-ku,Japan,Tōkyō-to
👍,Golden Thai,1444622902310658,Connie Zhou,2018-02-02 15:01:26.557+00,Golden Thai,1509 W Taylor St # 1, Chicago,Chicago,United States,Illinois
🐷,Asian Taste,1270106893044550,Anjali Ramani,2017-12-19 00:53:14.124+00,Asian Taste,502 East John Street #109, Champaign,Champaign,United States,Illinois
🍫,Fulcrum Café,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-04-07 21:37:41.01+00,Fulcrum Café,590 Bell Street, Seattle,Seattle,United States,Washington
🕐,Frankfurt Airport,10155200088205955,Ranjitha Kumar,2019-03-09 08:07:52.3+00,Frankfurt Airport,Frankfurt,Frankfurt am Main,Germany,Hessen
👍,Balzac's Distillery District,0HqYkVD6BCOAI5e3sIeCaSvqFOz1,Minsuk Chang,2019-04-09 14:24:08.265+00,Balzac's Distillery District,1 Trinity Street, Toronto,Toronto,Canada,Ontario
👔,Rivers Restaurant,878293195646842,Joe Higgs,2017-10-03 20:41:16.467+00,Rivers Restaurant,30 South Wacker Drive, Chicago,Chicago,United States,Illinois
😛,Pinewood Social,1970440316501428,Pooja Welling,2018-03-17 20:54:37.838+00,Pinewood Social,33 Peabody Street, Nashville,Nashville,United States,Tennessee
😡,Burger King,109764266408949300899,Johnny Waity,2018-04-07 22:01:28.954+00,Burger King,1106 West University Avenue, Urbana,Urbana,United States,Illinois
🍫,Cafe Du Monde,105856798281199967470,Sujay Khandekar,2019-01-05 03:56:56.066+00,Cafe Du Monde,800 Decatur Street, New Orleans,New Orleans,United States,Louisiana
🍖,Shorty's BBQ,115726429549715946128,Joseph Higgs,2018-05-07 17:25:13.153+00,Shorty's BBQ,5989 South University Drive, Davie,Davie,United States,Florida
💤,Burnham 310,gZeNLZHXyOPwnpW6sKLjthaN3Uk1,Yimeng Zhou,2018-10-09 01:23:59.647+00,Burnham 310,310 East Springfield Avenue, Champaign,Champaign,United States,Illinois
😬,Palais des Congrès in Montreal,iN536T6oE8hVkWDNNnMirw2f2zq2,Dennis Wang,2018-04-25 16:28:15.039+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
🐮,Rabipelao Gràcia - Arepes i Cocteleria tropical,10203814544039457,James Childress,2018-03-20 20:31:05.044+00,Rabipelao Gràcia - Arepes i Cocteleria tropical,Carrer del Torrent d'En Vidalet, 22, Barcelona,Barcelona,Spain,Catalunya
🥃,Miga,10155200088205955,Ranjitha Kumar,2018-10-09 02:27:33.644+00,Miga,M2 on Neil Street, 301 North Neil Street #104, Champaign,Champaign,United States,Illinois
😍,Tentenyu Ramen,10155351902975735,Ruta Lele,2018-05-05 02:43:46.257+00,Tentenyu Ramen,6230, 2012 Sawtelle Blvd, Los Angeles,Los Angeles,United States,California
🦆,St James's Park,10155200088205955,Ranjitha Kumar,2019-05-06 17:59:28.3+00,St James's Park,London,,United Kingdom,England
🥳,Bay Club Fremont,oCO1XnwTPub9pAXnMwOpAwQq65m1,Aayushi Gupta,2019-05-27 08:17:00.371+00,Bay Club Fremont,46650 Landing Parkway, Fremont,Fremont,United States,California
🤯,The Second City,10210457306100125,Kagan Allen,2018-05-20 18:05:59.394+00,The Second City,1616 N Wells St, Chicago,Chicago,United States,Illinois
🎉,Firecakes Donuts,108032751776815363988,Jerry Talton,2018-02-11 04:19:47.926+00,Firecakes Donuts,68 West Hubbard Street, Chicago,Chicago,United States,Illinois
🍯,Texas Roadhouse,10159323352450136,Savana Savage,2017-11-02 14:40:13.293+00,Texas Roadhouse,204 North Country Fair Drive, Champaign,Champaign,United States,Illinois
🌤,Greek Padel Academy Alimos,100162404055730,Opico Alpaca,2017-11-16 06:10:25.137+00,Greek Padel Academy Alimos,Odisseos Eliti 18, Alimos,Alimos,Greece,
🛏,Anvil Hotel,10155200088205955,Ranjitha Kumar,2019-08-14 14:19:19.908+00,Anvil Hotel,215 North Cache Street, Jackson,Jackson,United States,Wyoming
🍚,Kohinoor Indian Restaurant and Lounge,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-19 21:57:12.555+00,Kohinoor Indian Restaurant and Lounge,6 East Columbia Avenue, Champaign,Champaign,United States,Illinois
🌶,Assembly,106173579224565293482,Kala Shivaramaiah,2018-06-24 22:39:19.546+00,Assembly,1108 Pacific Ave, Santa Cruz,Santa Cruz,United States,California
👀,Thomas M. Siebel Center for Computer Science,10209441490268871,Selena Mei,2018-03-09 19:35:07.153+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🍅,Little Waitrose & Partners,105541935333594264230,usha shree,2019-03-14 18:14:44.109+00,Little Waitrose & Partners,168-176 Edgware Road, London,,United Kingdom,England
👻,Lou Malnati's Pizzeria,1864493876898160,Matea Zaper,2017-11-19 03:38:24.85+00,Lou Malnati's Pizzeria,1038 Lake Street, Oak Park,Oak Park,United States,Illinois
🛫,El Pelón Taqueria,10215323205660534,Austin Sun,2018-03-18 05:06:12.304+00,El Pelón Taqueria,2197 Commonwealth Avenue, Boston,Boston,United States,Massachusetts
🤙,Threes Brewing,10156139627340802,Aswin Sivaraman,2019-07-06 20:52:15.126+00,Threes Brewing,333 Douglass Street, Brooklyn,,United States,New York
🏠,University of Illinois Willard Airport CMI,ckdCCDwNZQbHJeX2dxINqEvBUdg2,Dominik Moritz,2019-03-01 15:30:28.508+00,University of Illinois Willard Airport CMI,11 Airport Road, Savoy,Savoy,United States,Illinois
🥞,First Watch - Bridgeville,361816177630471,Thomas Mologne,2018-03-13 14:20:33.373+00,First Watch - Bridgeville,160 Millers Run Road #400, Bridgeville,Bridgeville,United States,Pennsylvania
🦋,Butterfly Sushi Bar & Thai Cuisine,10214621429315134,Dave Brown,2017-11-17 00:55:22.445+00,Butterfly Sushi Bar & Thai Cuisine,1139 West Grand Avenue, Chicago,Chicago,United States,Illinois
😍,Campbell Farmer's Market,106173579224565293482,Kala Shivaramaiah,2018-10-08 04:57:20.028+00,Campbell Farmer's Market,East Campbell Avenue, Campbell,Campbell,United States,California
🌭,Superdawg Drive-In,1608334025894651,Rory Shanley,2018-05-25 19:22:00.813+00,Superdawg Drive-In,6363 North Milwaukee Avenue, Chicago,Chicago,United States,Illinois
😍,Thomas M. Siebel Center for Computer Science,10212886863311893,Sujay Khandekar,2017-11-09 18:12:37.758+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🥘,SGS NONVEG GUNDU PALAV - Malgudi Ventures,yqAhzpXIVWSk9Ko3paHUmNWomFp1,Chandana Chandu,2018-05-16 04:05:31.828+00,SGS NONVEG GUNDU PALAV - Malgudi Ventures,NO. 91B, IDEAL HOME CIRCLE, NANJAPPA COMPLEX, RAJARAJESHWARI NAGAR, Bengaluru,Bengaluru,India,Karnataka
😳,Dresden Central Station,106173579224565293482,Kala Shivaramaiah,2018-10-15 14:40:05.017+00,Dresden Central Station,Wiener Platz 4, Dresden,Dresden,Germany,Sachsen
🐓,Kohinoor Indian Restaurant and Lounge,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-07-19 21:57:12.555+00,Kohinoor Indian Restaurant and Lounge,6 East Columbia Avenue, Champaign,Champaign,United States,Illinois
🥩,Turf Supper Club,10156074801518874,Stephanie Raelene Herrera,2018-02-13 05:04:04.509+00,Turf Supper Club,1116 25th Street, San Diego,San Diego,United States,California
🏖,Potato Head Beach Club Bali,105856798281199967470,Sujay Khandekar,2019-03-12 05:12:06.411+00,Potato Head Beach Club Bali,Jalan Petitenget No.51B, Kerobokan Kelod,,Indonesia,Bali
🔠,Anthropologie,106173579224565293482,Kala Shivaramaiah,2018-04-09 18:14:09.638+00,Anthropologie,1548 N Fremont St, Chicago,Chicago,United States,IL
🍋,Happy Lemon,10210528750468531,Jewel Pi,2017-11-23 09:15:02.492+00,Happy Lemon,20488 Stevens Creek Boulevard #2040, Cupertino,Cupertino,United States,California
😋,Quarter Barrel Brewery + Pub (Oxford),1864493876898160,Matea Zaper,2018-02-26 23:56:10.723+00,Quarter Barrel Brewery + Pub (Oxford),107 E Church St, Oxford,Oxford,United States,Ohio
👔,BOSS Store,108032751776815363988,Jerry Talton,2018-05-23 22:47:02.462+00,BOSS Store,10 Columbus Circle Ste #106, New York,New YorkUnited States,New York
📝,University of Illinois Willard Airport CMI,WeFiis8LNoUE7WcwBeClE5dfuni1,Yichen Yao,2019-08-31 12:16:55.405+00,University of Illinois Willard Airport CMI,11 Airport Road, Savoy,Savoy,United States,Illinois
🔫,Richard Rodgers Theatre,10156074801518874,Stephanie Raelene Herrera,2018-09-27 04:35:46.716+00,Richard Rodgers Theatre,226 West 46th Street, New York,New YorkUnited States,New York
😀,Neighbours Nightclub and Lounge,H4erR9m7PoQbWTCBT2exuITNrwX2,Milan Dasgupta,2018-07-29 10:41:27.574+00,Neighbours Nightclub and Lounge,1509 Broadway, Seattle,Seattle,United States,Washington
🥑,El Oasis,10213860837890673,Gloria Lee,2017-11-07 05:54:55.787+00,El Oasis,510 North Cunningham Avenue #14, Urbana,Urbana,United States,Illinois
😍,The Cedar Tree,105856798281199967470,Sujay Khandekar,2018-06-01 10:44:40.572+00,The Cedar Tree,11 Saint Andrew's Street, Dublin 2,Dublin,Ireland,County Dublin
🕗,MOMOYA,108032751776815363988,Jerry Talton,2018-01-11 02:24:50.361+00,MOMOYA,185 7th Avenue, New York,New YorkUnited States,New York
🍆,Lao sze chuan,2090830797841336,Rijn Bian,2018-02-18 23:31:14.701+00,Lao sze chuan,608 East University Avenue ste. 105, Champaign,Champaign,United States,Illinois
😮,Historium Bruges,105856798281199967470,Sujay Khandekar,2018-08-12 10:32:46.896+00,Historium Bruges,Markt 1, Brugge,Bruges,Belgium,Flanders
🌲,London Marriott Hotel Grosvenor Square,10203191900074104,Sunil Khandekar,2017-11-13 18:19:11.706+00,London Marriott Hotel Grosvenor Square,Grosvenor Square, London,London,United Kingdom,England
🏬,Saratoga,105856798281199967470,Sujay Khandekar,2018-12-26 19:56:10.484+00,Saratoga,Saratoga,Saratoga,United States,California
😋,Marukin Ramen,105856798281199967470,Sujay Khandekar,2018-07-29 20:36:21.134+00,Marukin Ramen,126 Southwest 2nd Avenue #109, Portland,Portland,United States,Oregon
👌,Cafe Besalu,1841930055847625,Madhura Abhyankar,2018-03-26 00:46:41.843+00,Cafe Besalu,5909 24th Ave NW, Seattle,Seattle,United States,WA
🤩,Yellowstone National Park,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2019-08-18 14:34:28.881+00,Yellowstone National Park,Yellowstone National Park,Yellowstone National Park,United States,Wyoming
🥘,Hunan Impression,10212391291791338,Jinda Han,2018-06-19 07:16:36.317+00,Hunan Impression,5152 Moorpark Avenue #30, San Jose,San Jose,United States,California
🎥,Studio Movie Grill,172122846919104,Morgen Hall,2018-03-20 22:31:52.783+00,Studio Movie Grill,2880 Holcomb Bridge Road, Alpharetta,Alpharetta,United States,Georgia
🍞,Ruby's Diner To Go,10101518996685315,Mike Liu,2018-01-14 15:10:45.43+00,Ruby's Diner To Go,18601 Airport Way, Santa Ana,Santa Ana,United States,California
🍣,Harvest Market,10155200088205955,Ranjitha Kumar,2019-07-15 21:01:54.785+00,Harvest Market,2029 South Neil Street, Champaign,Champaign,United States,Illinois
🍯,Blue Bottle Coffee,1748667878486854,Ingrid Pan,2018-07-17 22:48:31.816+00,Blue Bottle Coffee,456 University Ave, Palo Alto,Palo Alto,United States,California
👫,Beatrix,904147553087729,Charis Ryu,2018-07-23 14:51:10.439+00,Beatrix,519 N Clark St, Chicago,Chicago,United States,Illinois
🚬,Philz Coffee,105856798281199967470,Sujay Khandekar,2018-03-21 18:58:15.122+00,Philz Coffee,19439 Stevens Creek Boulevard, Cupertino,Cupertino,United States,California
🔎,Big Ben,106173579224565293482,Kala Shivaramaiah,2019-03-15 20:52:11.997+00,Big Ben,London,,United Kingdom,England
👕,OSO: a style lab,904147553087729,Charis Ryu,2018-04-16 06:45:12.77+00,OSO: a style lab,6321 Delmar Blvd, University City,University City,United States,MO
😆,Plymouth Rock,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-08-27 19:06:12.348+00,Plymouth Rock,79 Water St, Plymouth,Plymouth,United States,Massachusetts
🤤,Mr. Holmes Bakehouse,1659104244102907,Dayana Edat,2018-08-11 22:20:30.772+00,Mr. Holmes Bakehouse,1042 Larkin St, San Francisco,San Francisco,United States,California
👍,Tosca del Carme,1726108570780522,Shivali Patel,2018-05-19 08:05:00.597+00,Tosca del Carme,Carrer del Carme, 40, Barcelona,Barcelona,Spain,Catalunya
🍶,Blue Bottle Coffee,105856798281199967470,Sujay Khandekar,2018-07-03 20:13:57.928+00,Blue Bottle Coffee,2 S Park St, San Francisco,San Francisco,United States,California
🍕,Joe's Pizza,105856798281199967470,Sujay Khandekar,2018-07-13 02:45:10.318+00,Joe's Pizza,7 Carmine Street, New York,New YorkUnited States,New York
🍄,G.H PASTA Co.,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-01-13 21:21:40.014+00,G.H PASTA Co.,2305 6th Avenue, Seattle,Seattle,United States,Washington
👩,Cafe MeKong Viet-Thai Cuisine,10207814784727552,Lina Handayani Sie,2018-05-10 19:27:14.709+00,Cafe MeKong Viet-Thai Cuisine,1405 South Main Street, Blacksburg,Blacksburg,United States,Virginia
🍻,Bru Burger Bar,10102728676322882,Heather Frantz Zike,2018-10-10 22:27:31.947+00,Bru Burger Bar,410 Massachusetts Avenue, Indianapolis,Indianapolis,United States,Indiana
😋,Area 57 Coffee Cafe,10101518996685315,Mike Liu,2019-02-11 18:13:23.384+00,Area 57 Coffee Cafe,125 Main Street, Wanamingo,Wanamingo,United States,Minnesota
💚,Levain Bakery,1517874618267474,Supriya Khandekar,2017-11-11 18:25:39.799+00,Levain Bakery,2167 Frederick Douglass Boulevard, New York,New YorkUnited States,New York
💅,Glassy Nails,10155200088205955,Ranjitha Kumar,2017-12-27 23:10:37.853+00,Glassy Nails,9577 Braddock Road, Fairfax,Fairfax,United States,Virginia
🎩,Daryl Roth Theatre,108032751776815363988,Jerry Talton,2017-11-30 23:53:17.167+00,Daryl Roth Theatre,101 East 15th Street, New York,New YorkUnited States,New York
